"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000227128",138.245020706194,0.483421268983453,0.154453438672534,3.12988349847221,0.00174875642683112,0.024517573807944,NA
"ENSG00000155265",30.050995750575,0.532813782643549,0.182798536166329,2.91475956983999,0.00355962657244305,0.0406922594837712,"GOLGA7B"
"ENSG00000072422",3065.59301479859,0.389360898739531,0.110597633756771,3.52051744249632,0.000430705663966566,0.00897777513711441,"RHOBTB1"
"ENSG00000171314",184.144065852266,-0.384844171422535,0.0936975113247341,-4.10730408931304,4.00304060272251e-05,0.00145892259162316,"PGAM1"
"ENSG00000148541",399.511369847062,0.546009240264801,0.133224724583675,4.09840772402474,4.16002019777804e-05,0.00150681387327714,"FAM13C"
"ENSG00000107954",603.432504403715,0.425931202603063,0.118976422500927,3.57996310235119,0.000343642727575344,0.00761253551888012,"NEURL1"
"ENSG00000151553",402.679674683375,0.284683129307936,0.0852018468541219,3.3412788550858,0.0008339342038418,0.0144515892030467,"FAM160B1"
"ENSG00000166272",474.656291216715,0.281109613028808,0.0837646422360731,3.35594596388963,0.000790940210089858,0.0138845515846221,"WBP1L"
"ENSG00000107949",221.700546275372,-0.22224645172833,0.0731957674477952,-3.03632927801243,0.00239477681468057,0.0306429381946367,"BCCIP"
"ENSG00000138162",5496.04946080218,0.56510116403898,0.119955569628449,4.71092059992984,2.46600304616468e-06,0.000160845276177147,"TACC2"
"ENSG00000287047",47.8196587061952,-0.569468268845058,0.207251439703047,-2.74771682966835,0.00600118137105341,0.057719784971671,NA
"ENSG00000188613",144.977227713128,0.430305877395357,0.134629368982247,3.19622591005459,0.0013923804649037,0.0207869232243562,"NANOS1"
"ENSG00000107518",131.572173839247,0.492468832345807,0.145504626937713,3.38455788458618,0.000712929849885503,0.0128870096489209,"ATRNL1"
"ENSG00000176171",830.300726966185,-0.300980186927073,0.0861862659566471,-3.49220590527115,0.000479048807237577,0.00968051752429325,"BNIP3"
"ENSG00000148908",62.1343877147627,0.631079752991371,0.187365375105425,3.3681770318357,0.000756669924838658,0.0133882858773254,"RGS10"
"ENSG00000107554",300.221393378039,0.152415082097927,0.0615571949442154,2.47599134814458,0.0132866797912354,0.0983478815551516,"DNMBP"
"ENSG00000099204",750.616375774096,-0.240884730618734,0.0937521197771158,-2.56937903048388,0.0101880955411933,0.0822304916831659,"ABLIM1"
"ENSG00000148498",790.061476119305,0.188318645158713,0.0654853902337674,2.87573525157993,0.0040308764616257,0.0441363547083973,"PARD3"
"ENSG00000148677",1457.38092743688,-1.32430602063439,0.44922693627973,-2.94796663708909,0.00319871584110813,0.0377439927953454,"ANKRD1"
"ENSG00000099290",480.402600307417,0.160411870522162,0.0580903505090897,2.76142025510866,0.00575505690302612,0.0563188463202465,"WASHC2A"
"ENSG00000107779",628.650495089192,-0.333265771077034,0.0982525626684125,-3.39192955405912,0.000694022814256499,0.012667105743151,"BMPR1A"
"ENSG00000185532",1476.89535947511,-0.440215831115283,0.106275098591879,-4.14222933639247,3.43946157451159e-05,0.00129628833243213,"PRKG1"
"ENSG00000197893",33677.1768017791,-0.369510827850691,0.0927860573167479,-3.98239604673874,6.82239680842213e-05,0.00223319788862351,"NRAP"
"ENSG00000173915",772.756579703208,-0.370172138204781,0.110639913213938,-3.34573778532346,0.000820639612381122,0.0143053508761822,"ATP5MD"
"ENSG00000138193",176.227638563727,0.673036565809002,0.147291726856472,4.56941187514789,4.89094764867832e-06,0.000278878679477542,"PLCE1"
"ENSG00000138347",7830.33928261832,0.202195464488739,0.0577762048367725,3.49963215929422,0.000465900587950522,0.0095269179028548,"MYPN"
"ENSG00000183049",45.0131675174427,-0.50681107850057,0.15012290871914,-3.37597427884071,0.000735547953203144,0.0131299983608744,"CAMK1D"
"ENSG00000198954",362.716974970585,-0.207989873575266,0.0659978551931224,-3.15146413420024,0.0016245411295432,0.0232004208090231,"KIFBP"
"ENSG00000204147",61.2085676263202,-0.292893765678397,0.106956818228852,-2.73843005549867,0.00617332904394078,0.0590155566147632,"ASAH2B"
"ENSG00000171206",360.931980327232,0.265297362691597,0.0927652687463632,2.8598781233197,0.00423803847219869,0.0457335580186716,"TRIM8"
"ENSG00000271848",14.1725771276592,-0.721244975523083,0.246225563797987,-2.92920428081472,0.0033983100202957,0.0395447846733027,NA
"ENSG00000214655",363.053810171856,0.308556137119961,0.0986494546780495,3.12780377881418,0.00176117716312525,0.0246091442967604,"ZSWIM8"
"ENSG00000236208",154.051996453435,-0.31914085838771,0.0980886447967793,-3.25359636733597,0.00113954067143687,0.0182120442209024,NA
"ENSG00000180817",387.497901690418,-0.350326903687582,0.0982299502751927,-3.56639601981001,0.00036192431760223,0.00788825430078547,"PPA1"
"ENSG00000166189",80.5951858089708,0.333400533513149,0.0974046107633462,3.42284139221271,0.000619702252684513,0.0116684402371283,"HPS6"
"ENSG00000189129",33.1559698143948,-0.532776961273884,0.197094875884054,-2.70314973377239,0.00686857972114717,0.0638322897744465,"PLAC9"
"ENSG00000150093",2262.01136862256,-0.23860833096784,0.0665245666592365,-3.58677016552517,0.000334799169040213,0.0075008366622379,"ITGB1"
"ENSG00000156110",158.953537680859,-0.188793828234118,0.0751734443030444,-2.51144310313945,0.0120238666820291,0.0924124819414612,"ADK"
"ENSG00000156515",840.346737066713,0.2601841530211,0.07064697893714,3.68287727140612,0.000230616202875138,0.00567739833150548,"HK1"
"ENSG00000168209",476.50110860068,0.707639904060676,0.163668075204318,4.32362819185891,1.53483885316801e-05,0.000697424461917678,"DDIT4"
"ENSG00000165996",177.087910897365,-0.450303946290269,0.0854618441530377,-5.26906423273412,1.3712097995172e-07,1.43417185895065e-05,"HACD1"
"ENSG00000148377",862.614160424491,-0.315712215848872,0.112710313600954,-2.80109428997454,0.00509296357845391,0.0519165076198104,"IDI2"
"ENSG00000108179",372.580707308976,-0.477755339890783,0.10370645529645,-4.60680425847257,4.08904583289553e-06,0.000240926580474205,"PPIF"
"ENSG00000165424",711.546361196452,0.321142017334907,0.0810341966105305,3.96304314434549,7.40004019359368e-05,0.00238257031806852,"ZCCHC24"
"ENSG00000198964",229.692032201406,0.306350619734413,0.0790218329019048,3.87678453516393,0.000105846012944467,0.00317560369321395,"SGMS1"
"ENSG00000198682",43.9985757231848,-0.399466253532744,0.139113893580534,-2.87150509019065,0.00408522202829328,0.044491919021634,"PAPSS2"
"ENSG00000138138",598.015352499325,-0.283924304561227,0.0980478321410343,-2.89577340325918,0.00378225399821324,0.0423284130524472,"ATAD1"
"ENSG00000255339",477.113132667396,-0.346920139416151,0.0969958759534747,-3.57664834722,0.00034802784829027,0.00768634911796289,NA
"ENSG00000166136",646.183709445468,-0.389414909477112,0.101733833703168,-3.82778172513701,0.000129303344714598,0.00368046042057205,"NDUFB8"
"ENSG00000166135",773.584548119556,0.173345957433608,0.0669205818051973,2.5903235261494,0.00958857702421334,0.0792739417586506,"HIF1AN"
"ENSG00000119906",867.971579664876,0.273294942789696,0.0701551289748661,3.89558036287849,9.79638732259662e-05,0.00297527392292471,"SLF2"
"ENSG00000107821",53.3253221235085,-0.478659897499342,0.148308765316749,-3.22745521127527,0.00124896592110547,0.0192473597397212,"KAZALD1"
